,city,temperature,cloudiness,country,date,humidity,longitude,latitude,temp_max,wind_speed
178,Santa Fe,77.79,17.0,AR,11/09/2019,59.0,-60.7,-31.62,80.01,7.87
179,Champerico,77.0,40.0,MX,11/09/2019,73.0,-93.6,16.38,77.0,13.87
180,Soyo,79.11,67.0,AO,11/09/2019,89.0,12.37,-6.13,79.11,3.38
181,Waingapu,81.48,10.0,ID,11/09/2019,75.0,120.26,-9.65,81.48,4.5
182,Solnechnyy,15.89,0.0,RU,11/09/2019,59.0,136.64,50.72,15.89,2.51
183,Carnarvon,63.36,98.0,ZA,11/09/2019,35.0,22.13,-30.97,63.36,5.37
184,Bambous Virieux,69.19,20.0,MU,11/09/2019,94.0,57.76,-20.34,70.0,5.82
185,Xai-Xai,70.41,94.0,MZ,11/09/2019,81.0,33.64,-25.04,70.41,3.4
186,Salta,68.36,90.0,AR,11/09/2019,82.0,-65.41,-24.79,71.6,11.41
187,Tuktoyaktuk,5.0,20.0,CA,11/09/2019,71.0,-133.03,69.44,5.0,19.46
188,Morgan City,58.73,1.0,US,11/09/2019,38.0,-91.21,29.7,60.8,5.82
189,Teknaf,71.91,100.0,BD,11/09/2019,98.0,92.31,20.86,71.91,3.49
190,Katangli,22.91,0.0,RU,11/09/2019,68.0,143.23,51.71,22.91,9.19
191,Athabasca,9.77,99.0,CA,11/09/2019,93.0,-113.29,54.72,9.77,4.99
192,Sucua,68.0,75.0,EC,11/09/2019,100.0,-78.17,-2.46,68.0,8.05
193,Tilichiki,32.34,100.0,RU,11/09/2019,98.0,166.1,60.47,32.34,19.04
194,Maldonado,62.6,19.0,UY,11/09/2019,82.0,-54.96,-34.91,62.6,11.41
195,Omboue,75.58,100.0,GA,11/09/2019,96.0,9.26,-1.57,75.58,1.63
196,Tulsipur,69.13,4.0,IN,11/09/2019,73.0,82.41,27.53,69.13,1.9
197,Lata,23.34,0.0,IN,11/09/2019,21.0,78.62,30.78,23.34,3.22
198,Tiksi,-13.6,98.0,RU,11/09/2019,98.0,128.87,71.64,-13.6,5.03
199,Talnakh,-18.41,98.0,RU,11/09/2019,75.0,88.39,69.49,-18.41,8.95
200,Ambilobe,76.12,55.0,MG,11/09/2019,75.0,49.05,-13.19,76.12,8.97
201,Vanderhoof,16.34,100.0,CA,11/09/2019,85.0,-124.02,54.02,16.34,8.19
202,Tartagal,73.4,90.0,AR,11/09/2019,94.0,-63.8,-22.52,73.4,17.22
203,Havelock,45.59,1.0,US,11/09/2019,66.0,-76.9,34.88,50.0,2.64
